번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
12,공주시청,,"충청남도 공주시 신관동 555도, (금강홍수통제소 앞, 32번 국도, 1차로)",차량방범,1,200,차량,30,2016-11,041-840-8500,36.4606,127.14452,2020-03-25
13,공주시청,충청남도 공주시 웅진로 232,"충청남도 공주시 금성동 168도, (금강교 남쪽 출구, 40번 국도)",차량방범,1,200,차량,30,2016-11,041-840-8500,36.46626,127.12401,2020-03-25
14,공주시청,,"충청남도 공주시 금흥동 594도, (3대대 앞, 627번 지방도, 의당방향",차량방범,1,200,차량,30,2016-11,041-840-8500,36.48259,127.13447,2020-03-25
15,공주시청,,"충청남도 공주시 금흥동 594도, (3대대 앞, 627번 지방도, 의당방향",차량방범,1,200,차량,30,2016-12,041-840-8500,36.48259,127.13447,2020-03-25
16,공주시청,,"충청남도 공주시 정안면 사현리 352-4번지 (정안 IC 앞, 1차로 23번 국도, 공주-천안)",차량방범,1,200,차량,30,2016-12,041-840-8500,36.61706,127.12368,2020-03-25
17,공주시청,,"충청남도 공주시 정안면 사현리 352-4번지 (정안 IC 앞, 1차로 23번 국도, 공주-천안)",차량방범,1,200,차량,30,2016-12,041-840-8500,36.61706,127.12368,2020-03-25
18,공주시청,,"충청남도 공주시 탄천면 삼각리 43-5, (삼각삼거리 교차로)",생활방범,1,200,탄천IC방향,30,2016-12,041-840-8500,36.330832,127.041909,2020-03-25
19,공주시청,충청남도 공주시 계룡면 영규대사로505,"충청남도 공주시 계룡면 월암리 364번지, (영규대사로505번 앞)",생활방범,1,200,360도전방면,30,2016-12,041-840-8500,36.36183412,127.1421325,2020-03-25
20,공주시청,,"충청남도 공주시 계룡면 월암리 364번지, (영규대사로505번 앞)",생활방범,1,200,다리,30,2013-03,041-840-8500,36.42163,127.14879,2020-03-25
21,공주시청,충청남도 공주시 반포면 수실1길 44-1,충청남도 공주시 반포면 공암리 247-3,생활방범,1,200,차량,30,2013-03,041-840-8500,36.40092113,127.2526275,2020-03-25
22,공주시청,,충청남도 공주시 의당면 청룡리636-1번지(홍익산업앞),생활방범,1,200,차량,30,2013-03,041-840-8500,36.49365,127.14916,2020-03-25
23,공주시청,충청남도 공주시 광정장터길 17,"충청남도 공주시 정안면 광정리280-15 (주민자치센터앞주차장,광정장터길17번앞전주)",생활방범,1,200,360도전방면,30,2013-03,041-840-8500,36.60889331,127.1228937,2020-03-25
24,공주시청,충청남도 공주시 광정장터길 17,"충청남도 공주시 정안면 광정리280-15 (주민자치센터앞주차장,광정장터길17번앞전주)",생활방범,1,200,진입로,30,2013-03,041-840-8500,36.60889331,127.1228937,2020-03-25
25,공주시청,충청남도 공주시 광정장터길 17,"충청남도 공주시 정안면 광정리280-15 (주민자치센터앞주차장,광정장터길17번앞전주)",생활방범,1,200,주민센터,30,2013-03,041-840-8500,36.60889331,127.1228937,2020-03-25
26,공주시청,,"충청남도 공주시 사곡면 운암리 538-4, (마곡사 주차장, 공주식당 앞 삼거리)",생활방범,1,200,360도전방면,30,2013-03,041-840-8500,36.55580974,127.0196532,2020-03-25
27,공주시청,,"충청남도 공주시 사곡면 운암리 538-4, (마곡사 주차장, 공주식당 앞 삼거리)",생활방범,1,200,동쪽,30,2013-03,041-840-8500,36.55580974,127.0196532,2020-03-25
28,공주시청,,"충청남도 공주시 사곡면 운암리 538-4, (마곡사 주차장, 공주식당 앞 삼거리)",생활방범,1,200,서쪽,30,2013-03,041-840-8500,36.55580974,127.0196532,2020-03-25
29,공주시청,,충청남도 공주시 신풍면 백룡리251-5번지 (정곡길8번집뒤전주),생활방범,1,200,북쪽,30,2014-04,041-840-8500,36.510125,126.968785,2020-03-25
30,공주시청,,"충청남도 공주시 중학동 중동81번지, 중동1길9-1(중동국민은행뒤, 중동마트주차장전주)",생활방범,1,200,360도전방면,30,2014-04,041-840-8500,36.45542,127.12548,2020-03-25
31,공주시청,충청남도 공주시 중동1길9-1,"충청남도 공주시 중학동 중동81번지, 중동1길9-1(중동국민은행뒤, 중동마트주차장전주)",생활방범,1,200,주차장,30,2014-04,041-840-8500,36.45535488,127.1253289,2020-03-25
32,공주시청,충청남도 공주시 산성골목길16,"충청남도 공주시 웅진동 산성동22-34 (산성갈목길16번 앞 삼거리 전주, 주차장입구)",생활방범,1,200,360도전방면,30,2014-04,041-840-8500,36.4595,127.12681,2020-03-25
33,공주시청,충청남도 공주시 산성골목길16,"충청남도 공주시 웅진동 산성동22-34 (산성갈목길17번 앞 삼거리 전주, 주차장입구)",생활방범,1,200,주차장,30,2014-04,041-840-8500,36.4595,127.12681,2020-03-25
34,공주시청,충청남도 공주시 산성골목길16,"충청남도 공주시 웅진동 산성동22-34 (산성갈목길18번 앞 삼거리 전주, 주차장입구)",생활방범,1,200,진입로,30,2015-05,041-840-8500,36.4595,127.12681,2020-03-25
35,공주시청,,"충청남도 공주시 웅진동 산성동146-12 (덕성궁전타운 뒤,주차장)",생활방범,1,200,360도전방면,30,2015-05,041-840-8500,36.45872,127.1267,2020-03-25
36,공주시청,,"충청남도 공주시 웅진동 산성동146-12 (덕성궁전타운 뒤,주차장)",생활방범,1,200,주차장,30,2015-05,041-840-8500,36.45872,127.1267,2020-03-25
37,공주시청,,"충청남도 공주시 웅진동 산성동146-12 (덕성궁전타운 뒤,주차장)",생활방범,1,200,진입로,30,2015-05,041-840-8500,36.45872,127.1267,2020-03-25
38,공주시청,충청남도 공주시 뱁새울길 4-2,"충청남도 공주시 금학동 199-4, (뱁새울길 4-2 근방 사거리)",생활방범,1,200,360도전방면,30,2015-05,041-840-8500,36.43707433,127.119567,2020-03-25
39,공주시청,충청남도 공주시 뱁새울길 4-2,"충청남도 공주시 금학동 199-4, (뱁새울길 4-2 근방 사거리)",생활방범,1,200,공주여고,30,2015-05,041-840-8500,36.43707433,127.119567,2020-03-25
40,공주시청,,충청남도 공주시 산성동 120-6번지 (코인노래방 뒤),생활방범,1,200,360도전방면,30,2015-12,041-840-8500,36.456778,127.125489,2020-03-25
41,공주시청,,"충청남도 공주시 유구읍 녹천리 10-6번지, 수촌교에서 석남삼거리 방향",차량방범,1,200,차량,30,2016-12,041-840-8500,36.557114,126.949203,2020-03-25
42,공주시청,,"충청남도 공주시 탄천면 장선리 321-12번지, 탄천IC에서 공주역 방향",차량방범,1,200,차량,30,2016-12,041-840-8500,36.30803,127.074272,2020-03-25
43,공주시청,,"충청남도 공주시 계룡면 중장리 305-1번지, 중장삼거리에서 청벽 방향",차량방범,1,200,차량,30,2016-12,041-840-8500,36.374552,127.168426,2020-03-25
44,공주시청,,"충청남도 공주시 정안면 광정리 288-1번지, 정안에서 산성리 방향",차량방범,1,200,차량,30,2016-12,041-840-8500,36.612083,127.121373,2020-03-25
45,공주시청,,"충청남도 공주시 우성면 도천리 33-1번지, 도천교 앞, 신웅리에서 내산리 방향",차량방범,1,200,차량,30,2016-12,041-840-8500,36.49081,127.092555,2020-03-25
46,공주시청,,"충청남도 공주시 태봉동 283-1번지, 이인면에서 공주방향",차량방범,1,200,차량,30,2016-12,041-840-8500,36.412759,127.093384,2020-03-25
47,공주시청,,"충청남도 공주시 계룡면 기산리 177-4번지, 삼거리",차량방범,1,200,차량,30,2016-12,041-840-8500,36.3899,127.14595,2020-03-25
48,공주시청,충청남도 공주시 반포면 마암리 국사봉,충청남도 공주시 반포면 마암리 국사봉,재난재해,1,41,360도전방면,30,2016-12,041-840-8410,36.411374,127.228689,2020-03-25
49,공주시청,충청남도 공주시 우성면 한천리 무성산,충청남도 공주시 우성면 한천리 무성산,재난재해,1,41,360도전방면,30,2016-12,041-840-8410,36.54855,127.058913,2020-03-25
50,공주시청,충청남도 공주시 봉황로1,충청남도 공주시 봉황동 319번지 공주시청 재난상황실,기타,1,200,360도전방면,30,2016-12,041-840-8500,36.44616219,127.1190678,2020-03-25
51,공주시청,,"충청남도 공주시 유구읍 녹천리 산55-4, (32번 국도 녹천1, 2교차로사이, 공주→예산, 이정표뒤)",차량방범,1,500,차량,30,2016-12,041-840-8500,36.57195928,126.9378853,2020-03-25
52,공주시청,,"충청남도 공주시 우성면 방흥리 226-4번지 (서공주IC에서 정산방향, 방음벽 종료지점)",차량방범,1,500,차량,30,2009-06,041-840-8500,36.45901,127.04206,2020-03-25
53,공주시청,,"충청남도 공주시 신풍면 평소리 381-11, 평화교인근",재난재해,1,200,360도전방면,30,2010-05,041-840-8649,36.516125,126.986855,2020-03-25
54,공주시청,,"충청남도 공주시 신풍면 평소리 381-11, 평화교인근",재난재해,1,200,,30,2010-05,041-840-8649,36.516125,126.986855,2020-03-25
55,공주시청,,"충청남도 공주시 신관동 594, 정안천 생태공원",재난재해,1,200,360도전방면,30,2010-05,041-840-8649,36.470663,127.129954,2020-03-25
56,공주시청,,"충청남도 공주시 신관동 594, 정안천 생태공원",재난재해,1,200,,30,2010-05,041-840-8649,36.470663,127.129954,2020-03-25
57,공주시청,,"충청남도 공주시 이인면 용성리 489-6, 용성보 인근",재난재해,1,200,360도전방면,30,2010-05,041-840-8649,36.36708745,127.067704,2020-03-25
58,공주시청,,"충청남도 공주시 이인면 용성리 489-6, 용성보 인근",재난재해,1,200,,30,2016-02,041-840-8649,36.36708745,127.067704,2020-03-25
59,공주시청,,"충청남도 공주시 사곡면 신영리 9-2, 통천포 인근",재난재해,1,200,360도전방면,30,2010-05,041-840-8649,36.479678,127.048156,2020-03-25
60,공주시청,,"충청남도 공주시 사곡면 신영리 9-2, 통천포 인근",재난재해,1,200,,30,2015-12,041-840-8649,36.479678,127.048156,2020-03-25
61,공주시청,,"충청남도 공주시 유구읍 명곡리 18-3,",생활방범,1,200,차량,30,2010-06,041-840-8500,36.603033,126.962332,2020-03-25
62,공주시청,,"충청남도 공주시 이인면 이인리 224-1, 종합전자 앞",생활방범,1,200,차량,30,2015-12,041-840-8500,36.364997,127.064226,2020-03-25
63,공주시청,,"충청남도 공주시 탄천면 안영리 19,",생활방범,1,200,차량,30,2010-06,041-840-8500,36.307981,127.070552,2020-03-25
64,공주시청,,"충청남도 공주시 반포면 온천리 99-12, 희망교",생활방범,1,200,차량,30,2011-06,041-840-8500,36.389618,127.253761,2020-03-25
65,공주시청,,"충청남도 공주시 의당면 수촌리 29-7, 회전교차로",생활방범,1,200,차량,30,2011-06,041-840-8500,36.505061,127.139462,2020-03-25
66,공주시청,,"충청남도 공주시 정안면 상룡리 15-5, 동양주유소 앞",생활방범,1,200,차량,30,2011-06,041-840-8500,36.53400798,127.122357,2020-03-25
67,공주시청,충청남도 공주시 왕촌길 41,"충청남도 공주시 옥룡동 상왕동 818-1, (상왕3통, 한국식당, 왕촌길 41 앞 전주)",생활방범,1,200,차량,30,2011-06,041-840-8500,36.44606159,127.1643443,2020-03-25
68,공주시청,충청남도 공주시 공주대학로 93,"충청남도 공주시 신관동 653-6, (금강약국 맞은편)",교통단속,1,130,360도전방면,30,2015-01,041-840-8494,36.47332158,127.1374129,2020-03-25
69,공주시청,,충청남도 공주시 신관동 24-52번지 (이솔아파트 앞 삼거리),교통단속,1,130,360도전방면,30,2015-01,041-840-8494,36.474509,127.143367,2020-03-25
70,공주시청,충청남도 공주시 금벽로 368,충청남도 공주시 신관동 553천(금강신관공원공주대교 아래),생활방범,1,130,360도전방면,30,2016-12,041-840-8500,36.462876,127.1274371,2020-03-25
71,공주시청,,충청남도 공주시 신관동 553-8도 (금강신관공원 자동차 출구),생활방범,1,41,챠량,30,2016-12,041-840-8500,36.46611,127.13489,2020-03-25
72,공주시청,,"충청남도 공주시 신관동 565 (정안천 생태공원, 예비군 훈련장 옆)",생활방범,1,200,360도전방면,30,2016-12,041-840-8500,36.480843,127.133601,2020-03-25
73,공주시청,,충청남도 공주시 금학동 108-1 (금학생태공원),생활방범,1,130,360도전방면,30,2016-12,041-840-8500,36.43398902,127.1237753,2020-03-25
74,공주시청,,충청남도 공주시 금학동 108-1 (금학생태공원),생활방범,1,200,360도전방면,30,2016-12,041-840-8500,36.43398902,127.1237753,2020-03-25
75,공주시청,충청남도 공주시 유구읍 음실길38,"충청남도 공주시 유구읍 녹천리 64-1번지 (사이, 유구 관불산 입구)",생활방범,1,130,챠량,30,2015-01,041-840-8500,36.55504391,126.9457508,2020-03-25
76,공주시청,충청남도 공주시 흑수골길 41,충청남도 공주시 신관동 17-2번지 (공주대 후문 먹자골목),생활방범,1,130,360도전방면,30,2015-01,041-840-8500,36.473183,127.141792,2020-03-25
77,공주시청,,충청남도 공주시 유구읍 문금리 2-16번지(고개길 정상부근),생활방범,1,41,챠량,30,2015-01,041-840-8500,36.64602,127.01345,2020-03-25
78,공주시청,,충청남도 공주시 금흥동 542-28천 (금흥교 다리 앞),생활방범,1,41,챠량,30,2015-01,041-840-8500,36.48278,127.15671,2020-03-25
79,공주시청,충청남도 공주시 금흥안터길 21,충청남도 공주시 금흥동 28-1번지(다리 앞),생활방범,1,41,챠량,30,2015-01,041-840-8500,36.48299,127.15291,2020-03-25
80,공주시청,충청남도 공주시 금흥안터길 21,충청남도 공주시 금흥동 28-1번지(다리 앞),생활방범,1,41,챠량,30,2015-01,041-840-8500,36.48299,127.15291,2020-03-25
81,공주시청,충청남도 공주시 교동2길 8,충청남도 공주시 교동 3-160번지 (교동 한진아파트 주변),생활방범,1,130,360도전방면,30,2015-01,041-840-8500,36.4604138,127.1202855,2020-03-25
82,공주시청,충청남도 공주시 월성산1길 19-2,충청남도 공주시 옥룡동 56-5번지 (옥룡동 대웅맨션 관리사무소 건물 외벽),생활방범,1,41,정문,30,2013-06,041-840-8500,36.45497215,127.135792,2020-03-25
83,공주시청,충청남도 공주시 월성산1길 19-2,충청남도 공주시 옥룡동 56-5번지 (옥룡동 대웅맨션 6동 앞 전주),생활방범,1,41,후문,30,2013-06,041-840-8500,36.45497215,127.135792,2020-03-25
84,공주시청,,"충청남도 공주시 계룡면 경천리 822-13번지 (경천교 앞, 신원사입구 삼거리)",생활방범,1,41,차량,30,2013-06,041-840-8500,36.321202,127.15232,2020-03-25
85,공주시청,,"충청남도 공주시 계룡면 경천리 822-13번지 (경천교 앞, 신원사입구 삼거리)",생활방범,1,41,차량,30,2013-06,041-840-8500,36.321202,127.15232,2020-03-25
86,공주시청,,충청남도 공주시 계룡면 하대리 497-3 (하대삼거리 앞),생활방범,1,41,차량,30,2013-06,041-840-8500,36.36200179,127.1584633,2020-03-25
87,공주시청,,충청남도 공주시 계룡면 하대리 497-3 (하대삼거리 앞),생활방범,1,41,차량,30,2013-06,041-840-8500,36.36200179,127.1584633,2020-03-25
88,공주시청,,충청남도 공주시 계룡면 향지리 428-1도 (향지2리 다리앞),생활방범,1,41,차량,30,2013-06,041-840-8500,36.35416,127.10839,2020-03-25
89,공주시청,,충청남도 공주시 계룡면 향지리 428-1도 (향지2리 다리앞),생활방범,1,41,차량,30,2015-12,041-840-8500,36.35416,127.10835,2020-03-25
90,공주시청,,충청남도 공주시 계룡면 월암리 48-2 (계룡보건지소 앞),생활방범,1,200,차량,30,2013-06,041-840-8500,36.36086184,127.1413574,2020-03-25
91,공주시청,,충청남도 공주시 금학동 330-4 (참노인병원 왼쪽 오르막길),생활방범,1,200,차량,30,2013-06,041-840-8500,36.43429335,127.1150589,2020-03-25
92,공주시청,,충청남도 공주시 무릉동 287-1 (무릉동길 안쪽),생활방범,1,200,차량,30,2017-06,041-840-8500,36.46371006,127.171141,2020-03-25
93,공주시청,,충청남도 공주시 반포면 온천리 155-5 (원전말길 입구),생활방범,1,200,차량,30,2017-06,041-840-8500,36.38768,127.25539,2020-03-25
94,공주시청,,충청남도 공주시 신관동 24-52번지 (이솔아파트 앞 삼거리),교통단속,1,130,남쪽,30,2013-06,041-840-8494,36.474509,127.143367,2020-03-25
95,공주시청,,충청남도 공주시 신관동 24-52번지 (이솔아파트 앞 삼거리),교통단속,1,130,북쪽,30,2013-06,041-840-8494,36.474509,127.143367,2020-03-25
96,공주시청,,"충청남도 공주시 옥룡동 94-1, (옥룡주공 앞 교차로)",교통단속,1,130,360도전방면,30,2017-07,041-840-8494,36.44845,127.13548,2020-03-25
97,공주시청,,"충청남도 공주시 옥룡동 94-1, (옥룡주공 앞 교차로)",교통단속,1,130,동쪽,30,2017-07,041-840-8494,36.44845,127.13548,2020-03-25
98,공주시청,,충청남도 공주시 사곡면 고당리 196-4번지 (고당리 버스정류장 옆),생활방범,1,41,차량,30,2013-07,041-840-8500,36.51627,127.02825,2020-03-25
99,공주시청,,충청남도 공주시 사곡면 고당리 196-4번지 (고당리 버스정류장 옆),생활방범,1,41,차량,30,2013-07,041-840-8500,36.51629,127.02831,2020-03-25
100,공주시청,,충청남도 공주시 신풍면 영정리 459-3번지 (버스정류장 뒤),생활방범,1,200,차량,30,2012-11,041-840-8500,36.5147,126.987605,2020-03-25
101,공주시청,,충청남도 공주시 쌍신동 313-6번지 (쌍신동 마을입구),생활방범,1,41,차량,30,2013-07,041-840-8500,36.476418,127.117193,2020-03-25
102,공주시청,,충청남도 공주시 반죽동 333-2번지 (구검찰청 옆 주차장 부근),생활방범,1,41,360도전방면,30,2009-07,041-840-8500,36.453733,127.120239,2020-03-25
103,공주시청,충청남도 공주시 신기동길 2,충청남도 공주시 신기동 383-10번지 (신기2통 진입로),생활방범,1,41,차량,30,2016-12,041-840-8500,36.42932748,127.1487993,2020-03-25
104,공주시청,충청남도 공주시 신기동길 2,충청남도 공주시 신기동 383-10번지 (신기2통 진입로),생활방범,1,200,차량,30,2016-12,041-840-8500,36.429716,127.149011,2020-03-25
105,공주시청,충청남도 공주시 영명학당1길 17-2번,충청남도 공주시 중학동 2-2번지,생활방범,1,41,360도전방면,30,2016-12,041-840-8500,36.45074,127.12582,2020-03-25
106,공주시청,,충청남도 공주시 중동 312-1번지 (영명중 정문 우측 30m앞),생활방범,1,41,360도전방면,30,2016-12,041-840-8500,36.45273,127.12604,2020-03-25
107,공주시청,,충청남도 공주시 웅진동 251-1번지(금성여고 정문),생활방범,1,41,360도전방면,30,2016-12,041-840-8500,36.45739,127.11176,2020-03-25
108,공주시청,,충청남도 공주시 웅진동 251-1번지(금성여고 정문),생활방범,1,41,남쪽,30,2016-12,041-840-8500,36.45739,127.11176,2020-03-25
109,공주시청,,충청남도 공주시 탄천면 광명리 705번지(광명리 진입로),생활방범,1,41,차량,30,2016-12,041-840-8500,36.332137,127.073915,2020-03-25
110,공주시청,,충청남도 공주시 웅진동 251-1번지(금성여고 정문),생활방범,1,41,동쪽,30,2016-12,041-840-8500,36.45739,127.11176,2020-03-25
111,공주시청,,충청남도 공주시 웅진동 251-1번지(금성여고 정문),생활방범,1,41,서쪽,30,2010-07,041-840-8500,36.45739,127.11176,2020-03-25
112,공주시청,충청남도 공주시 교동1길 13,충청남도 공주시 교동 3-34번지(공주여중 정문 동쪽),생활방범,1,41,360도전방면,30,2010-07,041-840-8500,36.4596392,127.119774,2020-03-25
113,공주시청,충청남도 공주시 교동1길 13,충청남도 공주시 교동 3-34번지(공주여중 정문 동쪽),생활방범,1,41,남쪽,30,2016-12,041-840-8500,36.4596392,127.119774,2020-03-25
114,공주시청,충청남도 공주시 교동1길 13,충청남도 공주시 교동 3-34번지(공주여중 정문 동쪽),생활방범,1,41,동쪽,30,2016-12,041-840-8500,36.4596392,127.119774,2020-03-25
115,공주시청,충청남도 공주시 교동1길 13,충청남도 공주시 교동 3-34번지(공주여중 정문 동쪽),생활방범,1,41,서쪽,30,2016-12,041-840-8500,36.4596392,127.119774,2020-03-25
116,공주시청,충청남도 공주시 정자방1길 16-1,충청남도 공주시 금성동 79-11번지(공주중 뒷편 골목),생활방범,1,41,360도전방면,30,2010-07,041-840-8500,36.46536022,127.1194453,2020-03-25
117,공주시청,충청남도 공주시 정자방1길 16-1,충청남도 공주시 금성동 79-11번지(공주중 뒷편 골목),생활방범,1,41,남쪽,30,2010-07,041-840-8500,36.46536022,127.1194453,2020-03-25
118,공주시청,충청남도 공주시 정자방1길 16-1,충청남도 공주시 금성동 79-11번지(공주중 뒷편 골목),생활방범,1,41,동쪽,30,2010-07,041-840-8500,36.46536022,127.1194453,2020-03-25
119,공주시청,충청남도 공주시 정자방1길 16-1,충청남도 공주시 금성동 79-11번지(공주중 뒷편 골목),생활방범,1,41,서쪽,30,2010-07,041-840-8500,36.46536022,127.1194453,2020-03-25
120,공주시청,,충청남도 공주시 신관동 495-142번지(공주생명과학고 정문),생활방범,1,200,차량,30,2010-07,041-840-8500,36.47311,127.12325,2020-03-25
121,공주시청,충청남도 공주시 금벽로 301,충청남도 공주시 신관동 528-4번지 (봉황중 정문),생활방범,1,41,차량,30,2010-07,041-840-8500,36.47546072,127.1227279,2020-03-25
122,공주시청,,충청남도 공주시 유구읍 백교리 17-1번지(공주마이스터고 입구),생활방범,1,41,360도전방면,30,2010-07,041-840-8500,36.54713,126.9505,2020-03-25
123,공주시청,충청남도 공주시 의당면 모란길 23,충청남도 공주시 의당면 오인리 48-3(오인어린이집),어린이보호,1,200,360도전방면,30,2010-07,041-840-8500,36.528324,127.1230072,2020-03-25
124,공주시청,,"충청남도 공주시 신관동 280-23(자람터유치원 앞, 삼우사우나 앞 삼거리)",어린이보호,1,200,360도전방면,30,2010-07,041-840-8500,36.47690265,127.1450284,2020-03-25
125,공주시청,,"충청남도 공주시 신관동 280-24(자람터유치원 앞, 삼우사우나 앞 삼거리)",어린이보호,1,200,남쪽,30,2010-07,041-840-8500,36.47662,127.14482,2020-03-25
126,공주시청,,"충청남도 공주시 신관동 280-25(자람터유치원 앞, 삼우사우나 앞 삼거리)",어린이보호,1,200,북쪽,30,2010-07,041-840-8500,36.47710387,127.1448867,2020-03-25
127,공주시청,,"충청남도 공주시 신관동278-3(테멘어린이집 앞,르노삼성차 앞)",어린이보호,1,200,360도전방면,30,2017-05,041-840-8500,36.47609267,127.1448693,2020-03-25
128,공주시청,,"충청남도 공주시 신관동278-3(테멘어린이집 앞,르노삼성차 앞)",어린이보호,1,200,남쪽,30,2010-07,041-840-8500,36.47609267,127.1448693,2020-03-25
129,공주시청,,"충청남도 공주시 신관동278-3(테멘어린이집 앞,르노삼성차 앞)",어린이보호,1,200,북쪽,30,2010-07,041-840-8500,36.47609267,127.1448693,2020-03-25
130,공주시청,,충청남도 공주시 신관동 335-3(위글기글 어린이집 앞 사거리),어린이보호,1,200,360도전방면,30,2010-07,041-840-8500,36.4749435,127.1345473,2020-03-25
131,공주시청,,충청남도 공주시 신관동 335-3(위글기글 어린이집 앞 사거리),어린이보호,1,200,동쪽,30,2016-02,041-840-8500,36.4749435,127.1345473,2020-03-25
132,공주시청,,충청남도 공주시 신관동 335-3(위글기글 어린이집 앞 사거리),어린이보호,1,200,서쪽,30,2011-09,041-840-8500,36.4749435,127.1345473,2020-03-25
133,공주시청,,충청남도 공주시 신관동 335-3(위글기글 어린이집 앞 사거리),어린이보호,1,200,남쪽,30,2011-09,041-840-8500,36.4749435,127.1345473,2020-03-25
134,공주시청,,충청남도 공주시 신관동 665(주공5차 어린이 놀이터),기타,1,130,360도전방면,30,2011-09,041-840-8500,36.475145,127.1355665,2020-03-25
135,공주시청,,충청남도 공주시 신관동 589-5 (구 신관지구대 앞 어린이 놀이터),기타,1,130,360도전방면,30,2011-09,041-840-8500,36.471908,127.129871,2020-03-25
136,공주시청,충청남도 공주시 번영2로 40-5,충청남도 공주시 신관동 602-14(신관게이트볼장 옆 어린이 놀이터),기타,1,130,360도전방면,30,2011-09,041-840-8500,36.47100003,127.1343918,2020-03-25
137,공주시청,충청남도 공주시 공주대학로 23-19,충청남도 공주시 신관동 610-8(현대1차옆 어린이 놀이터),기타,1,130,360도전방면,30,2011-09,041-840-8500,36.46770667,127.1364256,2020-03-25
138,공주시청,,충청남도 공주시 신관동 21(주공4차 어린이놀이터),기타,1,130,360도전방면,30,2011-09,041-840-8500,36.47254163,127.1451389,2020-03-25
139,공주시청,충청남도 공주시 번영2로 10-5,충청남도 공주시 신관동 606-9(공주시여성회관 앞 어린이 놀이터),기타,1,130,360도전방면,30,2011-09,041-840-8500,36.46883929,127.1325583,2020-03-25
140,공주시청,충청남도 공주시 백미고을길 9-4,충청남도 공주시 금성동 182-1(휜수정 어린이놀이터),기타,1,130,360도전방면,30,2011-09,041-840-8500,36.46512664,127.1222966,2020-03-25
141,공주시청,충청남도 공주시 미나리3길 8,충청남도 공주시 금성동 192-4(춘수정 어린이 놀이터),기타,1,130,360도전방면,30,2011-09,041-840-8500,36.46305024,127.122583,2020-03-25
142,공주시청,,충청남도 공주시 신관동 649-1(덕성아파트 앞 어린이 놀이터),기타,1,130,360도전방면,30,2011-09,041-840-8500,36.473745,127.134306,2020-03-25
143,공주시청,,충청남도 공주시 금흥동 612-1(신금지구 어린이놀이터),기타,1,130,360도전방면,30,2011-09,041-840-8500,36.478778,127.138942,2020-03-25
144,공주시청,,충청남도 공주시 중동 47-3번지 (근화유치원 앞),어린이보호,1,200,360도전방면,30,2011-09,041-840-8500,36.45543,127.12769,2020-03-25
145,공주시청,,충청남도 공주시 중동 47-3번지 (근화유치원 앞),어린이보호,1,200,진입로,30,2011-09,041-840-8500,36.45543,127.12769,2020-03-25
146,공주시청,충청남도 공주시 대통1길 21,"충청남도 공주시 봉황동 32-3, (풍덕유치원 앞)",어린이보호,1,200,360도전방면,30,2015-12,041-840-8500,36.450619,127.122119,2020-03-25
