번호,안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치연도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
11,예산-11호,방범용,가로변,예산 여중남문통학로 우방아파트방향 스피드돔_비상벨,,충청남도 예산군 예산읍 발연리 137-9,36.69805,126.8356,양방향,N,N,N,CCTV,2020,2020-06-19,Y,예산군청,041-339-7242,2020-06-26
12,예산-12호,방범용,가로변,예산 여중후문통학로 스피드돔_비상벨,,충청남도 예산군 예산읍 발연리 128-3,36.698001,126.83728,양방향,N,N,N,CCTV,2020,2020-06-19,Y,예산군청,041-339-7242,2020-06-26
13,덕산-01호,방범용,가로변,덕산 삼성아트빌 스피드돔_비상벨,,충청남도 예산군 덕산면 읍내리 399-3,36.7066413,126.66499,양방향,N,N,N,CCTV,2020,2020-06-19,Y,예산군청,041-339-7242,2020-06-26
14,덕산-02호,방범용,가로변,덕산 써니밸리놀이터옆사거리 스피드돔_비상벨,,충청남도 예산군 덕산면 읍내리 378-2,36.705064,126.666301,양방향,N,N,N,CCTV,2020,2020-06-19,Y,예산군청,041-339-7242,2020-06-26
15,덕산-03호,방범용,가로변,덕산 덕산시장이대감면옥사거리 스피드돔_비상벨,,충청남도 예산군 덕산면 읍내리 357,36.704898,126.66794,양방향,N,N,N,CCTV,2020,2020-06-19,Y,예산군청,041-339-7242,2020-06-26
16,덕산-04호,방범용,가로변,덕산 덕산초교 정문 스피드돔_비상벨,,충청남도 예산군 덕산면 읍내리 418-3,36.7057,126.668933,양방향,N,N,N,CCTV,2020,2020-06-19,Y,예산군청,041-339-7242,2020-06-26
17,덕산-05호,방범용,가로변,덕산 파리바게트앞 고덕방향 스피드돔_비상벨,,충청남도 예산군 덕산면 읍내리 230-2,36.70396980,126.6690320,양방향,N,N,N,CCTV,2020,2020-06-19,Y,예산군청,041-339-7242,2020-06-26
18,1,방범용,화장실,금강신관공원화장실 1,충청남도 공주시 금벽로 368 (신관동),충청남도 공주시 신관동 553,127,36,단방향,Y,N,N,,2015,2020-06-30,Y,환경보호과,041-840-8530,2020-07-03
19,2,방범용,화장실,금상신관공원화장실2,충청남도 공주시 금벽로 368 (신관동),충청남도 공주시 신관동 553,127,36,단방향,Y,N,N,,2015,2020-06-30,Y,환경보호과,041-840-8530,2020-07-03
20,3,방범용,화장실,금강신관공원화장실 3,충청남도 공주시 신관로 87 (신관동),충청남도 공주시 신관동 611-15,167,36,단방향,Y,N,N,,2015,2020-06-30,Y,환경보호과,041-840-8530,2020-07-03
21,4,방범용,화장실,금강신관공원화장실4,충청남도 공주시 금벽로 368 (신관동),충청남도 공주시 신관동 553,127,36,단방향,Y,N,N,,2015,2020-06-30,Y,환경보호과,041-840-8530,2020-07-03
22,5,방범용,화장실,금강신관공원화장실 5,충청남도 공주시 금벽로 368 (신관동),충청남도 공주시 신관동 553,127,36,단방향,Y,N,N,,2015,2020-06-30,Y,환경보호과,041-840-8530,2020-07-03
23,6,방범용,화장실,쌍신공원화장실 1,,충청남도 공주시 쌍신동 403,127,36,단방향,Y,N,N,,2015,2020-06-30,Y,건설과,041-840-8664,2020-07-03
24,7,방범용,화장실,쌍신공원화장실 2,,충청남도 공주시 신관동 495-20,127,36,단방향,Y,N,N,,2016,2020-06-30,Y,건설과,041-840-8664,2020-07-03
25,8,방범용,화장실,동학혁명탑화장실,,충청남도 공주시 금학동 327-6,127.06436,36.26003,단방향,Y,N,N,,2016,2020-06-30,Y,환경보호과,041-840-8530,2020-07-03
26,9,방범용,화장실,산성문화공원 화장실,,충청남도 공주시 산성동 181-90,127.07224,36.27249,단방향,Y,N,N,,2016,2020-06-30,Y,지역경제과,041-840-8297,2020-07-03
27,10,방범용,화장실,산성시장싸전앞 화장실,충청남도 공주시 산성시장4길 84 (산성동),충청남도 공주시 산성동 186-87,127.07275,36.27299,단방향,Y,N,N,,2016,2020-06-30,Y,환경보호과,041-840-8513,2020-07-03
28,11,방범용,화장실,산성시장철물점앞 화장실,충청남도 공주시 산성시장3길 44-11 (산성동),충청남도 공주시 산성동 181-8,127.124306,36.457569,단방향,Y,N,N,,2016,2020-06-30,Y,환경보호과,041-840-8513,2020-07-03
29,12,방범용,화장실,산성시장 뚝방화장실,충청남도 공주시 산성시장1길 67-24 (산성동),충청남도 공주시 산성동 193-6,36.457877,127.122868,단방향,Y,N,N,,2017,2020-06-30,Y,환경보호과,041-840-8513,2020-07-03
30,13,방범용,화장실,유구(구)시장 공중화장실,충청남도 공주시 유구읍 시장길 29,충청남도 공주시 유구읍 석남리 277,36.552918,126.951439,단방향,Y,N,N,,2018,2020-06-30,Y,유구읍,041-840-2707,2020-07-03
31,14,방범용,화장실,유구시장 공중화장실,충청남도 공주시 유구읍 시장길 28,충청남도 공주시 유구읍 석남리 276-5,36.552740,126.951936,단방향,Y,N,N,,2018,2020-06-30,Y,유구읍,041-840-2707,2020-07-03
32,15,방범용,화장실,정안생태공원화장실1,,충청남도 공주시 신관동 572-1,36.479511,127.132877,단방향,Y,N,N,,2018,2020-06-30,Y,환경보호과,041-840-8513,2020-07-03
33,16,방범용,화장실,청안천생태공원화장실 2,,충청남도 공주시 의당면 청룡리 909,36.191007,127.1350036,단방향,Y,N,N,,2018,2020-06-30,Y,환경보호과,041-840-8513,2020-07-03
34,17,방범용,화장실,공산성 옛성안마을 화장실,,충청남도 공주시 금성동 53-33,36.463796,127.124900,단방향,Y,N,N,,2018,2020-06-30,Y,환경보호과,041-840-8513,2020-07-03
35,18,방범용,화장실,영은사뒤 화장실,,충청남도 공주시 금성동 10-2,36.462045,127.128510,단방향,Y,N,N,,2018,2020-06-30,Y,환경보호과,041-840-8513,2020-07-03
36,19,방범용,화장실,공산성 임류각 앞 화장실,,충청남도 공주시 금성동 10-2,36.462045,127.128510,단방향,Y,N,N,,2018,2020-06-30,Y,환경보호과,041-840-8513,2020-07-03
37,20,방범용,화장실,공산성 쌍수정 옆 화장실,,충청남도 공주시 금성동 14-4,36.462798,127.125521,단방향,Y,N,N,,2018,2020-06-30,Y,환경보호과,041-840-8513,2020-07-03
38,21,방범용,화장실,송산리 고분군 공중화장실,,충청남도 공주시 웅진동 57-1,36.461375,127.112892,단방향,Y,N,N,,2018,2020-06-30,Y,환경보호과,041-840-8513,2020-07-03
39,22,방범용,화장실,송산리 고분군 매표소 앞 화장실,,충청남도 공주시 금성동 149-1,36.460990,127.113856,단방향,Y,N,N,,2018,2020-06-30,Y,환경보호과,041-840-8513,2020-07-03
40,23,방범용,화장실,송산리 고분군 쉼터화장실,,충청남도 공주시 금성동 146-2,36.461000,127.113715,단방향,Y,N,N,,2018,2020-06-30,Y,환경보호과,041-840-8513,2020-07-03
41,24,방범용,화장실,웅진백제역사관내 화장실,"충청남도 공주시 왕릉로 37, 웅진백제역사문화관 (웅진동)",충청남도 공주시 웅진동 57-1 웅진백제역사문화관,36.461341,127.112892,단방향,Y,N,N,,2018,2020-06-30,Y,환경보호과,041-840-8513,2020-07-03
42,25,방범용,화장실,곰나루(시범)화장실,,충청남도 공주시 웅진동 431,36.470814,127.109774,단방향,Y,N,N,,2018,2020-06-30,Y,환경보호과,041-840-8513,2020-07-03
43,26,방범용,화장실,곰나루(공중)화장실,,충청남도 공주시 웅진동 431,36.470814,127.109774,단방향,Y,N,N,,2018,2020-06-30,Y,환경보호과,041-840-8513,2020-07-03
44,27,방범용,화장실,동학사 매표소앞 1주차장 화장실,,충청남도 공주시 반포면 학봉리 728-6,36.358735,127.238451,단방향,Y,N,N,,2018,2020-06-30,Y,환경보호과,041-840-8513,2020-07-03
45,28,방범용,화장실,금학생태공원 공중화장실,,충청남도 공주시 금학동 108-3,36.442099,127.118789,단방향,Y,N,N,,2018,2020-06-30,Y,환경보호과,041-840-8513,2020-07-03
46,29,방범용,화장실,공산성 주차장화장실,,충청남도 공주시 금성동 16-1,36.463651,127.135781,단방향,Y,N,N,,2018,2020-06-30,Y,환경보호과,041-840-8513,2020-06-30
47,30,방범용,화장실,신관공원화장실,,충청남도 공주시 신관동 639-1,36.472780,127.135781,단방향,Y,N,N,,2018,2020-06-30,Y,환경보호과,041-840-8513,2020-07-03
48,31,방범용,화장실,금성게이트볼장화장실,,충청남도 공주시 금성동 73-11,36.466747,127.120843,단방향,Y,N,N,,2018,2020-06-30,Y,환경보호과,041-840-8513,2020-07-03
49,32,방범용,화장실,정안천 소방서 뒷편 화장실,,충청남도 공주시 신관동 571-4,36.476015,127.130309,단방향,Y,N,N,,2019,2020-06-30,Y,환경보호과,041-840-8513,2020-07-03
50,33,방범용,화장실,사계절썰매장 화장실,,충청남도 공주시 금학동 111-2,36.433546,127.123928,단방향,Y,N,N,,2019,2020-06-30,Y,환경보호과,041-840-8513,2020-07-03
51,34,방범용,화장실,한옥마을 주차장 화장실,,충청남도 공주시 웅진동 344-38,36.464350,127.107925,단방향,Y,N,N,,2019,2020-06-30,Y,환경보호과,041-840-8513,2020-07-03
52,CH-020-B0-01,방범용,가로변,군농협사거리,,청양읍 읍내리 396-1,36.452627,126.800287,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
53,CH-024-B0-01,방범용,가로변,둥이네마트,,청양읍 읍내리 203-53,36.452267,126.805817,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
54,CH-025-B0-01,방범용,가로변,국토정보공사,,청양읍 읍내리 218-8,36.452267,126.805817,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
55,CH-026-B0-01,방범용,가로변,청양의료원,,청양읍 읍내리 261-1,36.455408,126.800287,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
56,CH-027-B0-01,방범용,가로변,청양감리교회,,청양읍 읍내리 56-1,36.452693,126.808446,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
57,CH-028-B0-01,방범용,가로변,마님숯불갈비,,청양읍 송방리 414-10,36.451899,126.800583,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
58,CH-029-B0-01,방범용,가로변,읍내4리 공영주차장,,청양읍 읍내리 323-5,36.448109,126.800287,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
59,CH-030-B0-01,방범용,가로변,우리화원,,청양읍 읍내리 320-3,36.447452,126.800287,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
60,CH-031-B0-01,방범용,가로변,하나로마트 앞,,청양읍 벽천리 277-3,36.446395,126.798021,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
61,CH-033-B0-01,방범용,가로변,벽천굴다리,,청양읍 벽천리 222-6,36.443139,126.79905,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
62,CH-038-B0-01,방범용,가로변,주공아파트입구,,청양읍 읍내리 302-3,36.447413,126.800545,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
63,CH-040-B0-01,방범용,가로변,십자로(남북)1,,청양읍 읍내리 174-6,36.450617,126.803052,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
64,CH-041-B0-01,방범용,가로변,시외버스터미널,,청양읍 읍내리 188-1,36.451938,126.80312,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
65,CH-042-B0-01,방범용,가로변,하이츠빌 입구,,청양읍 읍내리 376-46,36.445913,126.802752,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
66,CH-043-B0-01,방범용,가로변,(구)한전,,청양읍 읍내리 396-1 (한전앞),36.452182,126.80257,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
67,CH-044-B0-01,방범용,가로변,우성산쉼터,,청양읍 읍내리 산 4-1 (우성산),36.457987,126.807089,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
68,CH-045-D0-01,방범용,가로변,제일어린이집,,청양읍 읍내리 367-6,36.447073,126.803407,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
69,CH-048-D0-01,방범용,가로변,청양초후문입구,,청양읍 읍내리 240-24,36.454151,126.804813,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
70,CH-051-D0-01,방범용,가로변,청양어린이집,,청양읍 읍내리 471-3,36.449114,126.805479,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
71,CH-052-D0-01,방범용,가로변,청양초정문입구,,청양읍 읍내리 5-2,36.452736,126.806169,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
72,CH-056-D0-01,방범용,가로변,읍내3리 놀이터,,청양읍 읍내리 176-36,36.449122,126.804326,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
73,CH-057-D0-01,방범용,가로변,읍내4리 놀이터 남,,청양읍 읍내리 301,36.448889,126.800141,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
74,CH-060-J0-01,방범용,가로변,은혜어린이공원,,청양읍 읍내리 218-5,36.452862,126.801154,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
75,CH-065-J0-01,방범용,가로변,평촌공원 계단,,청양읍 교월리 93-7,36.448685,126.808833,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
76,CH-067-J0-01,방범용,가로변,지천생태공원 내부,,청양읍 교월리 64,36.453309,126.800287,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
77,CH-070-J0-01,방범용,가로변,백세공원 시계,,청양읍 벽천리 10-5,36.444522,126.804158,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
78,CH-071-J0-01,방범용,가로변,필로스공원,,청양읍 읍내리 388-7,36.453221,126.805479,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
79,CH-080-B0-01,방범용,가로변,가마솥회관 앞,,청양읍 읍내리 199-1,36.451671,126.801468,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
80,CH-085-B0-01,방범용,가로변,시내버스터미널,,청양읍 읍내리 177-6,36.449158,126.802624,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
81,CH-086-B0-01,방범용,가로변,감리교회약수터,,청양읍 읍내리 15-24,36.453326,126.807817,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
82,CH-087-B0-01,방범용,가로변,백세잠수교정자앞,,청양읍 벽천리 25-2,36.443465,126.800348,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
83,CH-088-B0-01,방범용,가로변,백세공원 화장실,,청양읍 벽천리 25-2,36.443465,126.800348,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
84,CH-089-B0-01,방범용,가로변,백세공원 철봉대,,청양읍 교월리 571,36.445952,126.805168,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
85,CH-090-B0-01,방범용,가로변,백세공원 물레방아,,청양읍 교월리 571,36.445952,126.805168,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
86,CH-091-B0-01,방범용,가로변,백세공원 청양교아래,,청양읍 교월리 88,36.449835,126.807305,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
87,CH-092-B0-01,방범용,가로변,도립대도서관골목,,청양읍 벽천리 180-64,36.438092,126.800447,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
88,CH-093-B0-01,방범용,가로변,도립대골목중간,,청양읍 벽천리 683,36.438092,126.800447,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
89,CH-094-B0-01,방범용,가로변,청신여중 정문,,청양읍 벽천리 780,36.441233,126.798788,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
90,CH-097-B0-01,방범용,가로변,기아자동차사거리,,청양읍 읍내리 403,36.446059,126.801362,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
91,CH-098-B0-01,방범용,가로변,부흥정미소,,청양읍 읍내리 396-1,36.453352,126.805092,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
92,CH-099-B0-01,방범용,가로변,(구)기아자동차앞,,청양읍 읍내리 400,36.447199,126.802465,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
93,CH-100-B0-01,방범용,가로변,군청회전교차로,,청양읍 송방리 75-2,36.457234,126.802401,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
94,CH-104-B0-01,방범용,가로변,롯데리아맞은편,,청양읍 읍내리 227-3,36.452994,126.80347,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
95,CH-105-B0-01,방범용,가로변,청양고 앞,,청양읍 송방리 173-10,36.452852,126.799094,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
96,CH-803-B0-01,방범용,가로변,청양치과 앞,,청양읍 읍내리 196-1,36.451092,126.801774,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
97,JE-016-B0-01,방범용,가로변,정산시장사거리,,정산면 서정리 158-2,36.453221,126.805479,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
98,JE-017-B0-01,방범용,가로변,정산버스터미널,,정산면 서정리 99-41,36.412219,126.949908,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
99,JE-018-D0-01,방범용,가로변,정산초정문입구,,정산면 서정리 37-1,36.415475,126.945892,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
100,JE-019-D0-01,방범용,가로변,정산초뒤놀이터,,정산면 서정리 34,36.416718,126.944939,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
101,JE-021-D0-01,방범용,가로변,정산면행복마을터,,정산면 서정리 60-3,36.414622,126.945961,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
102,JE-024-D0-01,방범용,가로변,정산놀이터 남,,정산면 서정리 99-43,36.413112,126.800287,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
103,NA-019-D0-01,방범용,가로변,남양초입구도로,,남양면 구룡리 37-4,36.400135,126.777409,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
104,HW-002-A0-01,방범용,가로변,산정1리 터미널1,,화성면 산정리 184-4,36.4276769,126.7148296,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
105,JE-028-A0-01,방범용,가로변,정산면 아이빌리지,,정산면 서정리 142-3,36.412912,126.945154,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
106,JE-029-A0-01,방범용,가로변,정산면 중학교앞골목1,,정산면 서정리 147-2,36.412379,126.945894,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
107,JE-030-A0-01,방범용,가로변,정산면 축협오거리,,정산면 서정리 99-22,36.412057,126.949157,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
108,CH-809-B2-01,방범용,가로변,쌈지 주차장1,,청양읍 읍내리 221-2,36.452976,126.803513,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
109,CH-068-B0-01,방범용,가로변,청석빌라 앞,,청양읍 읍내리 104-20,36.448696,126.805087,양방향,Y,N,N,CCTV,2020,2020-12-10,Y,청양군청,041-940-2201,2020-12-21
110,CH-112-B0-01,방범용,가로변,병천순대 앞,,청양읍 읍내리 177-12,36.448770,126.800040,양방향,Y,N,N,CCTV,2020,2020-12-10,Y,청양군청,041-940-2201,2020-12-21
111,CH-111-B0-01,방범용,가로변,천강아파트 앞 도로,,청양읍 읍내리 377-30,36.444962,126.802887,양방향,Y,N,N,CCTV,2020,2020-12-10,Y,청양군청,041-940-2201,2020-12-21
112,CH-021-B0-01,방범용,가로변,여상 앞 하천,,청양읍 읍내리 400,36.454206,126.802458,양방향,Y,N,N,CCTV,2020,2020-12-10,Y,청양군청,041-940-2201,2020-12-21
113,CH-046-D0-01,방범용,가로변,예일어린이집,,청양읍 교월리 76-2,36.454028,126.812046,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
114,JA-022-A0-01,방범용,가로변,장평우체국앞,,장평면 분향리 394-2,36.340977,126.893603,양방향,Y,N,N,CCTV,2019,2020-12-09,Y,청양군청,041-940-2201,2020-12-21
115,예산-24호,방범용,가로변,신례원 농협앞,,충청남도 예산군 예산읍 신례원리 254-7,36.72655,126.84489,양방향,N,N,N,CCTV,2020,2020-12-02,Y,예산군청,041-339-7242,2020-12-21
116,예산-25호,방범용,가로변,신례원 리치빌 앞,,충청남도 예산군 예산읍 신례원 309-13,36.72564,126.84524,양방향,N,N,N,CCTV,2020,2020-12-02,Y,예산군청,041-339-7242,2020-12-21
117,예산-26호,방범용,가로변,예산역 CU앞,,충청남도 예산군 예산읍 주교리 213-9,36.68612,126.83081,양방향,N,N,N,CCTV,2020,2020-12-02,Y,예산군청,041-339-7242,2020-12-21
118,예산-27호,방범용,가로변,예산역 경일집 앞,,충청남도 예산군 예산읍 주교리 230-12,36.68527,126.83087,양방향,N,N,N,CCTV,2020,2020-12-02,Y,예산군청,041-339-7242,2020-12-21
119,예산-28호,방범용,가로변,예산여고 버스정류장,,충청남도 예산군 예산읍 주교리 249-9,36.68554,126.83265,양방향,N,N,N,CCTV,2020,2020-12-02,Y,예산군청,041-339-7242,2020-12-21
120,삽교-01호,방범용,가로변,두리 새마을금고앞,,충청남도 예산군 삽교읍 신가리 283-6,36.68607,126.73748,양방향,N,N,N,CCTV,2020,2020-12-02,Y,예산군청,041-339-7242,2020-12-21
121,삽교-02호,방범용,가로변,KT삽교빌딩 앞,,충청남도 예산군 삽교읍 두리 575-51,36.68716,126.73836,양방향,N,N,N,CCTV,2020,2020-12-02,Y,예산군청,041-339-7242,2020-12-21
122,삽교-03호,방범용,가로변,삽교CU삽교점사거리,,충청남도 예산군 삽교읍 두리 837-9,36.68603,126.73915,양방향,N,N,N,CCTV,2020,2020-12-02,Y,예산군청,041-339-7242,2020-12-21
123,삽교-04호,방범용,가로변,삽교초교,,충청남도 예산군 삽교읍 두리 542-2,36.68940,126.74252,양방향,N,N,N,CCTV,2020,2020-12-02,Y,예산군청,041-339-7242,2020-12-21
124,삽교-05호,방범용,가로변,삽다리빌라앞,,충청남도 예산군 삽교읍 두리 609-7,36.68774,126.74331,양방향,N,N,N,CCTV,2020,2020-12-02,Y,예산군청,041-339-7242,2020-12-21
125,삽교-06호,방범용,가로변,삽교 제일어린이집사거리,,충청남도 예산군 삽교읍 신가리 265-5,36.68588,126.74150,양방향,N,N,N,CCTV,2020,2020-12-02,Y,예산군청,041-339-7242,2020-12-21
126,삽교-07호,방범용,가로변,삽교중학교앞,,충청남도 예산군 삽교읍 신가리 21-3,36.68557,126.74586,양방향,N,N,N,CCTV,2020,2020-12-02,Y,예산군청,041-339-7242,2020-12-21
127,덕산-05호,방범용,가로변,덕산 파리바게트앞 고덕방향 스피드돔_비상벨,,충청남도 예산군 덕산면 읍내리 230-2,36.7039698,126.669032,양방향,N,N,N,CCTV,2020,2020-12-02,Y,예산군청,041-339-7242,2020-12-21
128,덕산-04호,방범용,가로변,덕산 덕산초교 정문 스피드돔_비상벨,,충청남도 예산군 덕산면 읍내리 418-3,36.7057,126.668933,양방향,N,N,N,CCTV,2020,2020-12-02,Y,예산군청,041-339-7242,2020-12-21
129,덕산-03호,방범용,가로변,덕산 덕산시장이대감면옥사거리 스피드돔_비상벨,,충청남도 예산군 덕산면 읍내리 357,36.704898,126.66794,양방향,N,N,N,CCTV,2020,2020-12-02,Y,예산군청,041-339-7242,2020-12-21
